,sample_size,accuracy
0,100,0.6955
1,200,0.7195
2,300,0.7994999999999998
3,400,0.8421249999999997
4,500,0.7833000000000001
5,600,0.7978333333333333
6,700,0.8561428571428573
7,800,0.8501875
8,900,0.8137777777777778
9,1000,0.8641500000000001
10,1100,0.8421818181818181
11,1200,0.8422083333333334
12,1300,0.8385000000000001
13,1400,0.8554285714285715
14,1500,0.848
15,1600,0.8345
16,1700,0.8148235294117647
17,1800,0.8155833333333333
18,1900,0.8130789473684211
19,2000,0.8486500000000001
20,2100,0.8415238095238096
21,2200,0.8430227272727272
22,2300,0.8397391304347823
23,2400,0.8543333333333333
24,2500,0.8423199999999998
25,2600,0.8501346153846153
26,2700,0.8376481481481481
27,2800,0.8416428571428572
28,2900,0.8183620689655171
29,3000,0.82895
30,3100,0.8238870967741936
31,3200,0.839328125
32,3300,0.8429242424242424
33,3400,0.8456176470588234
34,3500,0.8485999999999998
35,3600,0.8592777777777778
36,3700,0.8447162162162162
37,3800,0.8474605263157895
38,3900,0.8380384615384615
39,4000,0.8533375
40,4100,0.8476341463414634
41,4200,0.8413095238095236
42,4300,0.8503837209302327
43,4400,0.845556818181818
44,4500,0.845322222222222
45,4600,0.8490652173913042
46,4700,0.8338936170212766
47,4800,0.8496458333333332
48,4900,0.8397755102040817
49,5000,0.85474
